"","Mean_EOO","Mean_AOO","Zero_EOO","Zero_AOO","NA_EOO","NA_AOO"
"1",598350.5,268,598545.7,264,70736.7,16
"2",598708.1,268,598428.5,268,70581.8,16
"3",598716.9,272,598036.9,260,69914.2,12
"4",598648.2,272,598360.7,264,69975.3,16
"5",597641.1,280,598301.5,264,70139.4,16
"6",597764.6,276,598339.9,268,70071.4,16
"7",597645.2,264,598414.1,264,70473.2,16
"8",598835.1,276,598500.9,268,70392.5,16
"9",597852.8,276,598353.2,264,70221.1,16
"10",598369,272,598267.2,264,70230,16
"11",598836.5,272,598385.9,264,70502.1,16
"12",598412.5,272,598497.6,264,70135.5,16
"13",598951.5,272,598453.1,268,70443.3,20
"14",598974.5,260,598335,264,70021.2,16
"15",598056.8,272,598349.7,264,70288.5,16
"16",598969.5,276,598401.7,268,70351.2,16
"17",598421.4,272,598536.6,260,70259.2,12
"18",598662.1,272,598330.5,268,69937.6,16
"19",598563.2,276,598240.1,260,70014.3,12
"20",598732.2,272,598285.5,260,70017.6,16
"21",598519.3,280,598141.1,264,70400.6,16
"22",597761.5,272,598116.3,264,69824.6,16
"23",598242.3,268,598049.4,260,69842,12
"24",598493.2,272,598195.1,264,70211.5,12
"25",598467.7,280,598394.5,268,70652.8,16
"26",598686.8,272,598373.5,268,70014.9,16
"27",599290.7,276,598380.2,264,69895.4,16
"28",597982.8,268,598119,264,70129.9,16
"29",597862.5,268,598353.9,264,69955.4,16
"30",598827.2,276,598295.5,264,70051,12
"31",599070.5,272,598370.1,268,70376.1,16
"32",598269.9,272,598376.1,268,70683.7,16
"33",598672.6,272,598507.7,264,70426.4,20
"34",598261.4,268,598280.9,268,70292.1,16
"35",598916.1,276,598296.5,268,70117.5,16
"36",598968.6,284,598375.9,264,70449.6,16
"37",598429.7,264,598433.2,264,69998.3,16
"38",597880.3,272,598519.8,264,70400,16
"39",599007.9,264,598400.2,264,70431.2,16
"40",597413.7,276,598259.4,264,69945.5,16
"41",598785.7,276,597958,264,70375.6,16
"42",599490.1,276,598075.3,260,69915,12
"43",597696,276,598282,268,70073.4,16
"44",598562.7,272,598318.2,264,70049,16
"45",598620.1,272,598465.5,264,70061.9,16
"46",598753.6,276,598317.1,268,70282.9,16
"47",598272.1,280,598448.8,264,69945.7,16
"48",598286,268,598255,260,69780.8,12
"49",598270,268,598164.1,264,69939.8,16
"50",597406,256,598327.8,264,70652.8,16
"51",598067.9,280,598353.1,268,70688.1,20
"52",598533.9,280,598279.6,264,70246.6,16
"53",599275.7,280,598371.2,264,70135.9,16
"54",597773.4,276,598415.1,268,70003,16
"55",598580.4,272,598510.5,268,70533.8,20
"56",598396.7,268,598192.4,264,70175.9,16
"57",598030,268,598280.6,268,70115.9,16
"58",598168.4,276,598554.7,268,70497.4,16
"59",598514.9,268,598343.4,260,70133.5,12
"60",598837.6,276,598307.7,264,70119.2,16
"61",598339.7,272,598310.6,260,69738.3,12
"62",599029.4,272,598120.1,264,70191.5,16
"63",598727.1,272,598516,264,70514.1,16
"64",598595.3,264,598362.1,268,70598.7,20
"65",597533.7,268,598212.2,268,70066.6,20
"66",598026.3,268,598380.6,264,70131.5,16
"67",598761.2,276,598222.9,264,70292.4,16
"68",598238.8,276,598460.5,264,70423.7,16
"69",597804,272,598564.9,264,70558.4,16
"70",598734.3,268,598215.2,264,70336.5,16
"71",598013.1,272,598430.7,264,70169.1,16
"72",598715.6,280,598153.9,260,70015.2,12
"73",598926.7,272,598161.6,264,70055.5,12
"74",598158.8,276,598073.3,268,70188.1,16
"75",598859.4,276,598263.8,264,70006.5,12
"76",598237.5,268,597984.3,264,69979.3,16
"77",599094,272,598284.1,264,70421.5,12
"78",599018,268,598287.6,264,70092,12
"79",598612.3,276,598542.7,264,70172,16
"80",597821.8,260,598331.6,268,70193.3,16
"81",598503.1,272,598500.2,264,70525.3,16
"82",598443.5,268,598468.5,260,70453.6,16
"83",598065.9,280,598342.6,264,69972.7,16
"84",598392.8,272,598300,264,70436.5,16
"85",598241.9,272,598360.3,264,70079,16
"86",598045.9,264,598223.2,264,70431.2,16
"87",597989,272,598305.7,264,70555.7,16
"88",599067.1,276,598224.9,264,70260.1,16
"89",598428.2,276,598516.5,264,70325.2,12
"90",598412.9,276,598373,268,70415,16
"91",599048.4,280,598498.5,268,69919,16
"92",598509.7,272,598464.1,264,70244.2,12
"93",598776.7,276,598317.5,264,70574,20
"94",598366.6,268,598152.1,268,70085.5,16
"95",598888.2,272,598195.8,268,69842.9,16
"96",598656.8,284,598372.3,264,70748.8,16
"97",598452,280,598392,268,70377.9,16
"98",599122.9,264,598210.3,264,70043.8,16
"99",598217.3,276,598479.2,264,70457.6,12
"100",598763.6,272,598361.3,264,69801,16
